cik,company_name,ticker,ipo_date,ipo_year,founding_year,years_to_ipo,total_pre_ipo_capital_m,num_rounds_detected,capital_efficiency_m,pre_ipo_trial_count,pre_ipo_max_phase_rank,pre_ipo_conditions_targeted,pipeline_concentration,pre_ipo_had_terminated_or_withdrawn,pre_ipo_patent_count,ip_density,pubmed_pre_ipo_count,bucket,exit_reason,exit_subtype,sic,sic_description
0001629137,"Global Blood Therapeutics, Inc.",,2015-08-12,,,,,0,,2,1.0,3,0.67,False,15,7.5,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001596126,"Dance Biopharm, Inc.",,2014-04-09,,,,6.6,1,,2,2.0,2,1.0,False,3,1.5,0,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001718108,"Surface Oncology, Inc.",,2018-04-20,,,,35.1,1,,1,1.0,2,0.5,False,4,4.0,0,deregistered_or_delisted,acquisition,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001592052,Centrexion Therapeutics Corp,,2018-10-19,,,,66.1,2,,12,3.0,9,1.33,True,12,1.0,5,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001505512,Regulus Therapeutics Inc.,,2012-10-05,,,,,0,,0,,0,,False,19,inf,10,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001662524,"AKCEA THERAPEUTICS, INC.",,2017-07-14,,,,100.0,1,,3,3.0,6,0.5,True,0,0.0,10,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001510580,"Kite Pharma, Inc.",,2014-06-23,,,,350.0,1,,0,,0,,False,0,,39,deregistered_or_delisted,acquisition,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001630970,"Accelerated Pharma, Inc.",,2016-10-11,,,,,0,,0,,0,,False,0,,213,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001513818,"Versartis, Inc.",,2014-03-21,,,,55.0,4,,3,3.0,2,1.5,True,0,0.0,1,deregistered_or_delisted,failure,reverse_merger,2834.0,Pharmaceutical Preparations
0001509190,"ARATANA THERAPEUTICS, INC.",,2013-06-27,,,,9.3,3,,0,,0,,False,2,inf,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001731831,"Eidos Therapeutics, Inc.",,2018-06-21,,,,,0,,2,2.0,3,0.67,False,1,0.5,3,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001590930,"MICROLIN BIO, INC.",,2014-01-10,,,,,0,,0,,0,,False,0,,0,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001552451,MyoKardia Inc,,2015-10-29,,,,,0,,3,1.0,2,1.5,False,3,1.0,1,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001571498,"Epizyme, Inc.",,2013-05-31,,,,25.0,2,,1,1.0,4,0.25,False,11,11.0,20,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001711786,"Hoth Therapeutics, Inc.",,2019-02-15,,,,1.3,1,,0,,0,,False,0,,35,actively_filing,,,2834.0,Pharmaceutical Preparations
0001750019,TCR2 THERAPEUTICS INC.,,2019-02-15,,,,125.0,2,,0,,0,,False,3,inf,9,deregistered_or_delisted,acquisition,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001522602,"CohBar, Inc.",,2014-12-19,,,,,0,,0,,0,,False,0,,0,deregistered_or_delisted,likely_failure_delisted,,2834.0,Pharmaceutical Preparations
0001534120,Cerecor Inc.,,2016-12-05,,,,,0,,0,,0,,False,4,inf,2,actively_filing,,,2834.0,Pharmaceutical Preparations
0001695357,"Provention Bio, Inc.",,2018-07-03,,,,,0,,2,2.0,2,1.0,False,0,0.0,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001595585,"Tricida, Inc.",,2018-06-29,,,,57.5,3,,3,3.0,2,1.5,False,5,1.667,3,deregistered_or_delisted,bankruptcy,,2834.0,Pharmaceutical Preparations
