company_name,cik,bucket,latest_periodic_filing,deregistration_date,form25_date
"Unity Biotechnology, Inc.",1463361,deregistered_or_delisted,2025-04-22,2026-01-02,2025-08-06
"Receptos, Inc.",1463729,deregistered_or_delisted,2015-07-30,2015-09-08,2015-08-27
"Annovis Bio, Inc.",1477845,actively_filing,2026-05-15,,2021-11-26
"Cancer Prevention Pharmaceuticals, Inc.",1471002,stalled_filing,,,
"Neos Therapeutics, Inc.",1467652,deregistered_or_delisted,2020-11-09,2021-03-30,2021-03-19
"ZS Pharma, Inc.",1459266,deregistered_or_delisted,2015-11-09,2015-12-28,2015-12-17
PORTOLA PHARMACEUTICALS INC,1269021,deregistered_or_delisted,2020-05-11,2020-07-13,2020-07-02
DiaMedica Therapeutics Inc.,1401040,actively_filing,2026-05-06,,
KOLLTAN PHARMACEUTICALS INC,1442835,stalled_filing,,,
ACCELERON PHARMA INC,1280600,deregistered_or_delisted,2021-11-04,2021-12-02,2021-11-22
"Novus Therapeutics, Inc.",1404281,actively_filing,2026-05-13,,
"CoLucid Pharmaceuticals, Inc.",1348649,deregistered_or_delisted,2016-11-09,2017-03-13,2017-03-01
MERRIMACK PHARMACEUTICALS INC,1274792,deregistered_or_delisted,2024-05-15,2024-05-20,2024-05-10
"AQUINOX PHARMACEUTICALS, INC",1404644,actively_filing,2026-05-12,,
Celladon Corp,1305253,deregistered_or_delisted,2024-04-29,2024-10-01,2024-04-25
Immune Design Corp.,1437786,deregistered_or_delisted,2019-03-28,2019-04-12,2019-04-02
"ADURO BIOTECH, INC.",1435049,deregistered_or_delisted,2023-08-07,2023-08-21,2023-08-11
Regado Biosciences Inc,1311596,deregistered_or_delisted,2016-09-09,2016-11-14,2016-11-01
"PROTEOSTASIS THERAPEUTICS, INC.",1445283,actively_filing,2025-05-15,2025-07-02,2024-10-15
EYEGATE PHARMACEUTICALS INC,1372514,actively_filing,2026-05-08,,2020-08-05
SELECTA BIOSCIENCES INC,1453687,actively_filing,2026-04-30,,
"Mersana Therapeutics, Inc.",1442836,deregistered_or_delisted,2025-11-14,2026-01-16,2026-01-06
PhaseBio Pharmaceuticals Inc,1169245,deregistered_or_delisted,2022-08-12,2024-09-30,2022-12-21
"Visterra, Inc.",1426375,stalled_filing,,,
"Athenex, Inc.",1300699,deregistered_or_delisted,2023-04-28,,2023-07-10
TREVENA INC,1429560,deregistered_or_delisted,2024-11-07,,2025-04-08
"Auspex Pharmaceuticals, Inc.",1454189,deregistered_or_delisted,2015-04-23,2015-05-15,2015-05-05
"Rib-X Pharmaceuticals, Inc.",1164994,stalled_filing,,,
CATABASIS PHARMACEUTICALS INC,1454789,deregistered_or_delisted,2025-11-12,2026-02-02,2026-01-23
Acucela Inc,1400482,deregistered_or_delisted,2017-05-10,2016-12-05,
GLYCOMIMETICS INC,1253689,actively_filing,2026-06-22,,
"Carbylan Therapeutics, Inc.",1348911,deregistered_or_delisted,2026-05-14,2026-06-22,2026-06-11
Dicerna Pharmaceuticals Inc,1399529,deregistered_or_delisted,2021-11-09,2022-01-10,2021-12-28
"KEMPHARM, INC",1434647,actively_filing,2026-05-06,,2020-08-11
TETRALOGIC PHARMACEUTICALS CORP,1361248,deregistered_or_delisted,2016-11-03,2016-12-02,2016-11-14
GLOBEIMMUNE INC,1245104,deregistered_or_delisted,2016-05-12,2016-07-25,2016-07-15
Cerulean Pharma Inc.,1401914,actively_filing,2026-05-14,,
STEMLINE THERAPEUTICS INC,1264587,deregistered_or_delisted,2020-05-11,2020-06-22,2020-06-10
HYPERION THERAPEUTICS INC,1386858,deregistered_or_delisted,2015-05-06,2015-05-18,2015-05-07
"BIND Therapeutics, Inc",1385228,deregistered_or_delisted,2016-08-15,2017-01-30,2016-09-26
"PHASERX, INC.",1429386,deregistered_or_delisted,2017-11-09,,2018-04-19
FIVE PRIME THERAPEUTICS INC,1175505,deregistered_or_delisted,2021-03-22,2021-04-26,2021-04-16
Conatus Pharmaceuticals Inc,1383701,deregistered_or_delisted,2023-11-09,2024-01-04,2023-10-12
PROTEON THERAPEUTICS INC,1359931,actively_filing,2026-05-13,,
Virobay Inc,1374261,stalled_filing,,,
THAR PHARMACEUTICALS INC,1428369,stalled_filing,,,
aTYR PHARMA INC,1339970,actively_filing,2026-05-15,,
"Conkwest, Inc.",1326110,actively_filing,2026-05-07,,
VITAL THERAPIES INC,1280776,actively_filing,2026-05-13,,
INOTEK PHARMACEUTICALS CORP,1281895,actively_filing,2026-05-07,,
KYTHERA BIOPHARMACEUTICALS INC,1436304,deregistered_or_delisted,2015-08-06,2015-10-13,2015-10-01
"CONCERT PHARMACEUTICALS, INC.",1367920,deregistered_or_delisted,2022-11-07,2023-03-16,2023-03-06
AERIE PHARMACEUTICALS INC,1337553,deregistered_or_delisted,2022-11-04,2022-12-01,2022-11-21
